capacity,fitness,generation
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6717.64705882353,inf,12
7882.35294117647,4.75609224138805,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
5623.529411764706,inf,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
5552.941176470588,inf,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
7035.294117647059,2.7847385638942983,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
9011.764705882353,11.233592068011784,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,13
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6682.35294117647,inf,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6894.117647058823,2.6228139304942353,14
6752.941176470588,2.385010858043371,14
5905.882352941177,inf,14
6752.941176470588,2.385010858043371,14
6682.35294117647,inf,14
6752.941176470588,2.385010858043371,14
6682.35294117647,inf,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
6752.941176470588,2.385010858043371,14
