width,thickness,wec_mass,fitness,generation
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.4737254901960783,71176.4705882353,[[0.00208655]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.9411764705882355,1.5419607843137255,71176.4705882353,[[0.22864653]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
5.882352941176471,2.508235294117647,71176.4705882353,[[0.04460451]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.9411764705882355,2.6462745098039218,71176.4705882353,[[0.00278265]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.516862745098039,71176.4705882353,[[0.00023447]],85
